Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate
3001,FEDEX268575826 T1800 4633339 ON,0001,03-09-2025,02-09-2025,FEDEX268575826,23.98,Debit,4215,T1800 4633339,CAN,L4W 5K6,ON,0
3001,CAT SCALE COMPANY 5632846263 IA,0001,03-09-2025,02-09-2025,CAT SCALE COMPANY,20.89,Debit,5046,5632846263,USA,52773,IA,1.381694915
3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,0001,03-09-2025,02-09-2025,LOVE'S #0687 INSIDE,1179.09,Debit,5541,SOUTH JACKSON,USA,62650,IL,1.376503249
3001,TDOT OSOW PERMITS NASHVILLE TN,0001,03-09-2025,02-09-2025,TDOT OSOW PERMITS,255.49,Debit,9399,NASHVILLE,USA,37243,TN,1.376518666
3001,SERVICE FEE FRANKLIN TN,0001,03-09-2025,02-09-2025,SERVICE FEE,6.01,Debit,9399,FRANKLIN,USA,37067,TN,1.375586854
3001,KINGPIN TRAILERS LTD EDMONTON AB,0001,03-09-2025,02-09-2025,KINGPIN TRAILERS LTD,103.2,Debit,5561,EDMONTON,CAN,T5V 1A1,AB,0
3001,MCSD OSOW INDIANAPOLIS IN,0001,03-09-2025,02-09-2025,MCSD OSOW,91.78,Debit,9399,INDIANAPOLIS,USA,46241,IN,1.381790123
3001,WWW COSTCO CA 888-426-7826 ON,0001,03-09-2025,02-09-2025,WWW COSTCO CA,38.84,Debit,5300,888-426-7826,CAN,K2E 1C5,ON,0
3001,LOVE'S #0340 INSIDE LAS VEGAS NV,0001,03-09-2025,02-09-2025,LOVE'S #0340 INSIDE,454.68,Debit,5541,LAS VEGAS,USA,89165,NV,1.381814217
3001,KYTC MOTOR CARRIERS FRANKFORT KY,0001,03-09-2025,02-09-2025,KYTC MOTOR CARRIERS,88.38,Debit,9399,FRANKFORT,USA,40601,KY,1.381730769
3001,VCN*NORTHCAROLINADOT GARNER NC,0001,03-09-2025,02-09-2025,VCN*NORTHCAROLINADOT,42.33,Debit,9399,GARNER,USA,27529,NC,1.376666667
3001,IDOT ITAP OS OW SPRINGFILED IL,0001,03-09-2025,02-09-2025,IDOT ITAP OS OW,302.92,Debit,9399,SPRINGFILED,USA,62764,IL,1.381820732
3001,LOVE'S #0874 INSIDE LAFAYETTE IN,0001,03-09-2025,02-09-2025,LOVE'S #0874 INSIDE,20.89,Debit,5541,LAFAYETTE,USA,47905,IN,1.381694915
3001,LOVE'S TIRE CARE #0374 BARSTOW CA,0001,03-09-2025,02-09-2025,LOVE'S TIRE CARE #0374,94.31,Debit,7538,BARSTOW,USA,92311,CA,1.381739
3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,0001,03-09-2025,02-09-2025,LOVE'S #0687 INSIDE,77.83,Debit,5541,SOUTH JACKSON,USA,62650,IL,1.376540972
3001,NV DOT-PERMITS CARSON CITY NV,0001,03-09-2025,02-09-2025,NV DOT-PERMITS,35.27,Debit,9399,CARSON CITY,USA,98712,NV,1.3764
3001,RELIABLE PERMIT SOLUTI TARZANA CA,0001,03-09-2025,02-09-2025,RELIABLE PERMIT SOLUTI,71.96,Debit,7399,TARZANA,USA,91356,CA,1.376470588
3001,VA DMV HAULING PERMITS RICHMOND VA,0001,03-09-2025,02-09-2025,VA DMV HAULING PERMITS,90.48,Debit,9399,RICHMOND,USA,232202051,VA,1.376422891
3001,COFFEE CUP #8 VIVIAN SD,0001,03-09-2025,02-09-2025,COFFEE CUP #8,774.35,Debit,5541,VIVIAN,USA,57576,SD,1.381804214
3001,IA DOT MOTOR CARRIER S ANKENY IA,0001,04-09-2025,02-09-2025,IA DOT MOTOR CARRIER S,51.7,Debit,9399,ANKENY,USA,50021,IA,1.381917808
3001,FLYING J 663 WADDY KY,0001,04-09-2025,02-09-2025,FLYING J 663,790.43,Debit,5541,WADDY,USA,40076,KY,1.381791141
3001,IDOT ITAP OS OW SPRINGFILED IL,0001,04-09-2025,03-09-2025,IDOT ITAP OS OW,119.48,Debit,9399,SPRINGFILED,USA,62764,IL,1.381816027
3001,L OCA GIFTCARD VANCOUVER BC,0001,04-09-2025,02-09-2025,L OCA GIFTCARD,75,Debit,5947,VANCOUVER,CAN,V6B2M1,BC,0
3001,Amazon.ca*BF6C21X53 866-216-1072 ON,0001,04-09-2025,04-09-2025,Amazon.ca*BF6C21X53,10.99,Debit,4816,866-216-1072,CAN,M5J 2T3,ON,0
3001,PILOT 4619 WYTHEVILLE VA,0001,04-09-2025,02-09-2025,PILOT 4619,71.29,Debit,5541,WYTHEVILLE,USA,24382,VA,1.376410053
3001,MNDOT OSOW PERMITS SAINT PAUL MN,0001,04-09-2025,03-09-2025,MNDOT OSOW PERMITS,164.93,Debit,9399,SAINT PAUL,USA,551551800,MN,1.381794762
3001,MCSD OSOW - CONV. FEE NASHVILLE TN,0001,04-09-2025,02-09-2025,MCSD OSOW - CONV. FEE,3.82,Debit,9399,NASHVILLE,USA,37215,TN,1.381481481
3001,IOWA 80 TRUCKSTOP WALCOTT IA,0001,04-09-2025,03-09-2025,IOWA 80 TRUCKSTOP,189.37,Debit,5541,WALCOTT,USA,52773,IA,1.381101891
3001,MCSD OSOW INDIANAPOLIS IN,0001,04-09-2025,03-09-2025,MCSD OSOW,205.93,Debit,9399,INDIANAPOLIS,USA,46241,IN,1.381774415
3001,BC PERMIT CENTRE VICTORIA BC,0001,04-09-2025,02-09-2025,BC PERMIT CENTRE,30,Debit,9399,VICTORIA,CAN,V8W9T5,BC,0
3001,MNA*MICHELIN CANADA 877-724-2835 QC,0001,04-09-2025,03-09-2025,MNA*MICHELIN CANADA,51182.84,Debit,5532,877-724-2835,CAN,H7T 2P6,QC,0
3001,SP KENT AUTOMOTIVE PRO CHICAGO IL,0001,04-09-2025,03-09-2025,SP KENT AUTOMOTIVE PRO,90.41,Debit,5533,CHICAGO,USA,60631,IL,0
3001,MNDOT OSOW PERMITS FEE ATLANTA GA,0001,04-09-2025,03-09-2025,MNDOT OSOW PERMITS FEE,3.54,Debit,9399,ATLANTA,USA,303285588,GA,1.38
3001,Campbell Park Carwash ST. ALBERT AB,0001,04-09-2025,02-09-2025,Campbell Park Carwash,22,Debit,7542,ST. ALBERT,CAN,T8N6P6,AB,0
3001,IA DOT MOTOR CARRIER S ANKENY IA,0001,04-09-2025,03-09-2025,IA DOT MOTOR CARRIER S,51.7,Debit,9399,ANKENY,USA,50021,IA,1.381917808
3001,PZG**MT DEPT TRANSPORT HELENA MT,0001,04-09-2025,03-09-2025,PZG**MT DEPT TRANSPORT,247.34,Debit,9399,HELENA,USA,59601,MT,1.381124084
3001,VCN*IDAHODOT BOISE ID,0001,04-09-2025,03-09-2025,VCN*IDAHODOT,115.36,Debit,9399,BOISE,USA,83703,ID,1.381829343
3001,NORTHDALE OIL SWEET CR GRASSY BUTTE ND,0001,04-09-2025,03-09-2025,NORTHDALE OIL SWEET CR,708.23,Debit,5541,GRASSY BUTTE,USA,58634,ND,1.381809455
